tipo de vía
ACCES
ACCESO
ACEQUIA
ACERA
ALAMEDA
ALDAPA
ALDEA
ALQUERIA
ALTO
ANDADOR
ANGOSTA
APARTAMENTOS
APARTAMENTS
APEADEIRO
APEADERO
ARBOLEDA
ARRABAL
ARROYO
ASSEGADOR
ATAJO
ATALL
ATALLO
ATZUCAT
AUTOPISTA
AUTOVIA
AUZO
AUZOTEGI
AUZUNEA
AV
AVENIDA
AVINGUDA
BAIXADA
BAJADA
BALNEARIO
BARRANCO
BARRANQUIL
BARREDUELA
BARRI
BARRIADA
BARRIO
BASERRIA
BELENA
BIDE
BIDEBIETA
BLOC
BLOQUE
BRAZAL
BULEVAR
CALEXON
CALEYA
CALEYON
CALLE
CALLEJA
CALLEJON
CALLEJUELA
CALLIZO
CALZADA
CALZADAS
CAMI
CAMIN
CAMINET
CAMINO
CAMIÑO
CAMPA
CAMPING
CAMPO
CAÑADA
CANAL
CANELLA
CANTERA
CANTINA
CANTIÑO
CANTO
CANTON
CARRER
CARRERA
CARRERADA
CARRERANY
CARRERO
CARRETERA
CARRETERIN
CARRETIL
CARRIL
CASA
CASERIO
CERRO
CHALET
CINTURO
CINTURON
CINYELL
CIRCUNVALAÇIO
CIRCUNVALACION
CMNO HONDO
CMNO NUEVO
CMNO VIEJO
COBERTIZO
COLONIA
COMPLEJO
CONJUNTO
CONVENT
CONVENTO
COOPERATIVA
CORRAL
CORRALILLO
CORRALO
CORREDERA
CORREDOIRA
CORREDOR
CORREDORCILLO
CORRILLO
CORRIOL
CORTIJO
COSTA
COSTANILLA
COSTERA
CRUCEIRO
CUADRA
CUESTA
CUEVA/S
DEHESA
DEMARCAÇIO
DEMARCACION
DISEMINADO
DISSEMINAT
DREÇERA
EDIFICIO/S
EIRADO
EMPRESA
ENPARANTZA
ENTRADA
ERREBAL
ERREKA
ERREPIDE
ERRIBERA
ESCALA/S
ESCALERA/S
ESCALINATA
ESPALDA
ESPIGO
ESTACIO
ESTACION
ESTRADA
ETORBIDEA
ETXADI
ETXARTE
EXPLANADA
EXTRAMUROS
EXTRARRADIO
FABRICA
FALDA
FINCA
GAINVIA
GALERIA
GALLIZO
GLORIETA
GORABIDE
GRAN
GRANJA
GRUP
GRUPO/S
HEGI
HIRIBIDEA
HONDARTZA
HOYA
ILLA
INDA
JARDI
JARDIN
JARDINES
JARDINS
KAI
KALEA
KARRERA
KARRIK
KARRIKA
KARRIL
KOSTA
LADERA
LAGO
LASTERBIDE
LEKU
LLANURA
LLOC
LOMA
LOMO
LORATEGI
LORATEGIAK
LUGAR
MALECON
MASIA/S
MAZO
MENDI
MERCADO
MERCAT
MIRADOR
MOLL
MONASTERIO
MONTE
MUELLE
NAVE/S
NUCLEO
NUDO
ONDARTZA
PAGO
PALACIO
PANTANO
PARAJE
PARATGE
PARAXE
PARC
PARKE
PARQUE
PARTICULAR
PARTIDA
PAS
PASADIZO
PASAIA
PASAJE
PASAXE
PASEABIDE
PASEALEKUA
PASEO
PASEO MARITIMO
PASILLO
PASSADIS
PASSATGE
PASSEIG
PATIO
PG
PINAR
PISTA
PL
PLA
PLAÇA
PLACETA
PLAYA
PLAZA
PLAZOLETA
PLAZUELA
POBLADO
POLIGONO
POLIGONO INDUST
PONT
PONTE
PORT
PORTAL
PORTICO
PORTILLO
PRACIÑA
PRAIA
PRAZA
PRAZUELA
PROLONGACIO
PROLONGACION
PUEBLO
PUENTE
PUERTA
PUERTILO
PUERTO
PUJADA
RABAL
RACO
RACONADA
RAMAL
RAMBLA
RAMPA
RAMPLA
RAVAL
RENTO
RESIDENCIAL
RIBERA
RIERA
RINCON
RINCONADA
RONDA
ROTONDA
RUA
RUEIRO
RUELA
SANATORIO
SANTUARIO
SARBIDE
SECTOR
SEKTORE
SENDA
SENDER
SENDERA
SENDERO
SERVENTIA
SUBIDA
TALDE
TOKI
TORRENTE
TRANSITO
TRANSVERSAL
TRASEIRA
TRASERA
TRAVESIA
TRAVESSERA
TRAVESSIA
URBANITZACIO
URBANIZACION
URBANIZAZIO
VALLE
VECINDARIO
VEGA
VEINAT
VENELA
VEREDA
VIA
VIADUCTE
VIADUCTO
VIAL
VIARANY
VILLA
VIVIENDAS
XARDIN
ZEARKALETA
ZONA
ZUBI
ZUHAIZTI
ZUMARDI
